t,s
12.660000,-52.576
12.670000,-53.559
12.680000,-36.937
12.690000,-15.448
12.700000,-9.096
12.710000,-8.571
12.720000,-9.253
12.730000,-6.120
12.740000,6.263
12.750000,21.974
12.760000,40.663
12.770000,39.656
12.780000,49.735
12.790000,47.135
12.800000,53.302
12.810000,32.767
12.820000,40.799
12.830000,42.019
12.840000,26.451
12.850000,9.761
12.860000,-14.130
12.870000,-39.625
12.880000,-29.530
12.890000,-42.914
12.900000,-51.248
12.910000,-37.734
12.920000,-43.910
12.930000,-56.433
12.940000,-61.000
12.950000,-77.719
12.960000,-76.595
12.970000,-74.626
12.980000,-63.862
12.990000,-74.213
13.000000,-69.537
13.010000,-58.149
13.020000,-68.772
13.030000,-60.678
13.040000,-47.876
13.050000,-52.552
13.060000,-36.153
13.070000,-20.385
13.080000,-0.854
13.090000,24.665
13.100000,48.988
13.110000,82.029
13.120000,95.390
13.130000,139.591
13.140000,156.465
13.150000,192.765
13.160000,210.935
13.170000,239.606
13.180000,251.714
13.190000,240.552
13.200000,239.598
13.210000,243.128
13.220000,221.323
13.230000,214.157
13.240000,190.359
13.250000,194.541
13.260000,172.701
13.270000,178.275
13.280000,160.095
13.290000,164.601
13.300000,137.444
13.310000,160.368
13.320000,115.197
13.330000,113.199
13.340000,119.254
13.350000,102.082
13.360000,89.041
13.370000,104.266
13.380000,97.227
13.390000,103.169
13.400000,96.173
13.410000,82.639
13.420000,84.099
13.430000,96.829
13.440000,89.172
13.450000,84.093
13.460000,82.923
13.470000,73.673
13.480000,73.034
13.490000,70.205
13.500000,66.234
13.510000,56.732
13.520000,56.705
13.530000,65.726
13.540000,76.798
13.550000,79.566
13.560000,85.337
13.570000,98.108
13.580000,100.197
13.590000,92.120
13.600000,114.257
13.610000,104.013
13.620000,103.479
13.630000,114.666
13.640000,104.636
13.650000,93.522
13.660000,110.897
13.670000,106.214
13.680000,126.732
13.690000,121.467
13.700000,118.046
13.710000,123.090
13.720000,135.649
13.730000,139.296
13.740000,133.980
13.750000,119.742
13.760000,135.762
13.770000,125.244
13.780000,124.747
13.790000,102.314
13.800000,113.839
13.810000,90.995
13.820000,81.657
13.830000,67.655
13.840000,71.587
13.850000,80.783
13.860000,84.208
13.870000,75.366
13.880000,94.570
13.890000,80.058
13.900000,86.504
13.910000,84.934
13.920000,74.676
13.930000,66.521
13.940000,64.468
13.950000,74.481
13.960000,82.341
13.970000,105.023
13.980000,114.268
13.990000,121.131
14.000000,102.349
14.010000,104.297
14.020000,101.897
14.030000,92.215
14.040000,75.057
14.050000,73.863
14.060000,70.086
14.070000,77.464
14.080000,76.380
14.090000,73.132
14.100000,44.041
14.110000,42.972
14.120000,45.100
14.130000,41.565
14.140000,53.100
14.150000,64.887
14.160000,57.109
14.170000,59.714
14.180000,56.465
14.190000,94.638
14.200000,100.346
14.210000,117.403
14.220000,129.900
14.230000,165.531
14.240000,165.814
14.250000,175.852
14.260000,172.993
14.270000,174.058
14.280000,154.643
14.290000,155.164
14.300000,148.980
14.310000,161.000
14.320000,136.431
14.330000,125.358
14.340000,131.203
14.350000,141.215
14.360000,129.430
14.370000,131.252
14.380000,122.965
14.390000,106.357
14.400000,106.192
14.410000,117.076
14.420000,103.608
14.430000,94.677
14.440000,82.558
14.450000,74.251
14.460000,65.871
14.470000,64.745
14.480000,57.943
14.490000,37.538
14.500000,36.356
14.510000,34.443
14.520000,16.027
14.530000,16.794
14.540000,-3.645
14.550000,1.494
14.560000,7.133
14.570000,-10.574
14.580000,-9.125
14.590000,8.837
14.600000,3.211
14.610000,9.953
14.620000,18.981
14.630000,32.940
14.640000,72.642
14.650000,65.985
14.660000,67.589
